GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0100000US,,United States,0100000US,,United States,United States,8.6,0.1
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,9.1,0.3
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,14.0,0.9
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,10.0,0.3
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,7.9,0.4
0100000US,,United States,0400000US06,06,United States - California,California,7.3,0.1
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,7.5,0.3
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,4.9,0.3
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,5.7,0.5
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,3.9,0.6
0100000US,,United States,0400000US12,12,United States - Florida,Florida,12.5,0.2
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,12.9,0.3
0100000US,,United States,0400000US15,15,United States - Hawaii,Hawaii,3.5,0.4
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,10.1,0.5
0100000US,,United States,0400000US17,17,United States - Illinois,Illinois,6.5,0.2
0100000US,,United States,0400000US18,18,United States - Indiana,Indiana,8.1,0.3
0100000US,,United States,0400000US19,19,United States - Iowa,Iowa,4.3,0.2
0100000US,,United States,0400000US20,20,United States - Kansas,Kansas,8.7,0.3
0100000US,,United States,0400000US21,21,United States - Kentucky,Kentucky,5.1,0.2
0100000US,,United States,0400000US22,22,United States - Louisiana,Louisiana,10.3,0.4
0100000US,,United States,0400000US23,23,United States - Maine,Maine,8.0,0.5
0100000US,,United States,0400000US24,24,United States - Maryland,Maryland,6.1,0.3
0100000US,,United States,0400000US25,25,United States - Massachusetts,Massachusetts,2.5,0.2
0100000US,,United States,0400000US26,26,United States - Michigan,Michigan,5.4,0.1
0100000US,,United States,0400000US27,27,United States - Minnesota,Minnesota,4.1,0.2
0100000US,,United States,0400000US28,28,United States - Mississippi,Mississippi,11.8,0.4
0100000US,,United States,0400000US29,29,United States - Missouri,Missouri,8.9,0.2
0100000US,,United States,0400000US30,30,United States - Montana,Montana,8.1,0.5
0100000US,,United States,0400000US31,31,United States - Nebraska,Nebraska,8.6,0.5
0100000US,,United States,0400000US32,32,United States - Nevada,Nevada,11.4,0.5
0100000US,,United States,0400000US33,33,United States - New Hampshire,New Hampshire,5.9,0.4
0100000US,,United States,0400000US34,34,United States - New Jersey,New Jersey,8.0,0.2
0100000US,,United States,0400000US35,35,United States - New Mexico,New Mexico,9.2,0.5
0100000US,,United States,0400000US36,36,United States - New York,New York,6.1,0.1
0100000US,,United States,0400000US37,37,United States - North Carolina,North Carolina,10.4,0.2
0100000US,,United States,0400000US38,38,United States - North Dakota,North Dakota,7.0,0.6
0100000US,,United States,0400000US39,39,United States - Ohio,Ohio,5.6,0.2
0100000US,,United States,0400000US40,40,United States - Oklahoma,Oklahoma,13.8,0.3
0100000US,,United States,0400000US41,41,United States - Oregon,Oregon,6.2,0.2
0100000US,,United States,0400000US42,42,United States - Pennsylvania,Pennsylvania,5.6,0.2
0100000US,,United States,0400000US44,44,United States - Rhode Island,Rhode Island,4.3,0.5
0100000US,,United States,0400000US45,45,United States - South Carolina,South Carolina,10.0,0.3
0100000US,,United States,0400000US46,46,United States - South Dakota,South Dakota,8.7,0.5
0100000US,,United States,0400000US47,47,United States - Tennessee,Tennessee,9.0,0.2
0100000US,,United States,0400000US48,48,United States - Texas,Texas,16.6,0.2
0100000US,,United States,0400000US49,49,United States - Utah,Utah,8.8,0.4
0100000US,,United States,0400000US50,50,United States - Vermont,Vermont,3.7,0.4
0100000US,,United States,0400000US51,51,United States - Virginia,Virginia,8.7,0.3
0100000US,,United States,0400000US53,53,United States - Washington,Washington,6.0,0.2
0100000US,,United States,0400000US54,54,United States - West Virginia,West Virginia,5.3,0.3
0100000US,,United States,0400000US55,55,United States - Wisconsin,Wisconsin,5.3,0.2
0100000US,,United States,0400000US56,56,United States - Wyoming,Wyoming,11.5,1.0
0100000US,,United States,0400000US72,72,United States - Puerto Rico,Puerto Rico,6.2,0.3
